epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,471.771,0.75851,0.80715,1.22374,0.68181,0.636,0.68436,0.56263,0.67131,0.8523,1.23617,0.000332828,0.000332828,0.000332828
2,920.76,0.79685,0.8683,1.24597,0.67903,0.6436,0.67947,0.55136,0.70665,0.84622,1.25754,0.000652972,0.000652972,0.000652972
3,1357.33,0.81441,0.91703,1.2567,0.66473,0.58972,0.64935,0.52929,0.72374,0.9949,1.30205,0.000959915,0.000959915,0.000959915
4,1794.59,0.81812,0.94067,1.26341,0.67899,0.60883,0.66636,0.53518,0.7285,0.9751,1.28265,0.0009406,0.0009406,0.0009406
5,2228.32,0.8261,0.94242,1.2651,0.6855,0.57278,0.64127,0.50917,0.76305,1.03115,1.33037,0.0009208,0.0009208,0.0009208
6,2665.04,0.83813,0.96051,1.27167,0.67633,0.59892,0.64165,0.51828,0.71653,0.99041,1.26589,0.000901,0.000901,0.000901
7,3101.67,0.83512,0.94639,1.27128,0.69125,0.61106,0.66908,0.54647,0.70198,0.91696,1.25754,0.0008812,0.0008812,0.0008812
8,3537.1,0.83459,0.94494,1.27656,0.66383,0.63058,0.66325,0.52679,0.73298,0.90344,1.28754,0.0008614,0.0008614,0.0008614
9,3973.39,0.81618,0.92167,1.25906,0.69692,0.59982,0.66854,0.53328,0.72987,0.94225,1.27872,0.0008416,0.0008416,0.0008416
10,4404.31,0.82941,0.91514,1.26724,0.69195,0.6107,0.65367,0.52825,0.72255,0.94602,1.287,0.0008218,0.0008218,0.0008218
11,4834.58,0.81279,0.89887,1.25909,0.67169,0.60721,0.65635,0.53052,0.71075,0.93676,1.28279,0.000802,0.000802,0.000802
12,5265.64,0.80738,0.91091,1.25862,0.67785,0.5992,0.66263,0.53288,0.70875,0.95641,1.27782,0.0007822,0.0007822,0.0007822
13,5702.61,0.83143,0.9184,1.26708,0.66685,0.60105,0.64894,0.52854,0.68839,0.96997,1.2576,0.0007624,0.0007624,0.0007624
